x	y	name	color	
9791.537109375	63881.4765625	6	-65536
8648.44921875	47054.46484375	10	-65536
41682.47901055399	85369.4369752094	15	-65536
24830.62890625	82010.5078125	5	-65536
63777.48828125	87737.515625	3	-65536
44943.58203125	6203.484375	4	-65536
28635.49609375	37662.44921875	9	-65536
10984.426998639638	102301.44496974717	14	-65536
55998.51953125	22681.416015625	8	-65536
26925.466796875	18850.533203125	11	-65536
24424.4958588321	27033.46889199317	13	-65536
44655.484375	37635.48828125	2	-65536
40555.4725844577	114999.49105643452	1	-65536
73403.4453125	55629.44140625	7	-65536
15857.47265625	34617.36328125	12	-65536
